Time_s,Gen_AC_V,Inv_AC_V,Inv_AC_A,Inv_AC_W,Bat_DC_V,MPPT_DC_A,MPPT_DC_W,Bat_SoC_Pct,Bat_Energy_Wh,Inv_DC_A,Inv_DC_W,Inv_Efficiency_Pct,Rotor_RPM,Temp_Gen_C,Temp_Box_C,Temp_ESP_C
173.0,155.4,200.3,0.11,19.3,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
174.0,87.8,112.1,0.08,7.4,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
175.0,173.5,227.5,0.13,24.4,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
176.0,98.3,124.2,0.09,9.3,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
177.0,112.0,145.5,0.09,11.1,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
178.0,164.6,217.0,0.12,22.5,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
179.0,82.0,102.3,0.07,6.5,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
180.0,157.3,207.5,0.11,20.2,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
181.0,115.4,146.9,0.10,12.1,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
182.0,100.2,129.2,0.08,9.2,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
183.0,169.6,221.9,0.12,23.2,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
184.0,76.0,93.8,0.07,5.9,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
185.0,134.8,175.7,0.10,15.4,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
186.0,130.9,167.8,0.11,15.1,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
187.0,86.6,109.2,0.08,7.2,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
188.0,152.9,200.9,0.12,21.0,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
189.0,63.9,76.7,0.07,4.8,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
190.0,119.5,157.0,0.10,13.7,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
191.0,120.3,154.1,0.11,13.8,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
192.0,72.6,92.8,0.08,6.2,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
193.0,125.4,161.9,0.12,16.9,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
